album_id,artist_id
1,2
2,1
3,1
4,4
5,1
6,1
7,7
8,3
9,6
10,2
11,1
12,1
13,8
14,1
15,1
16,1
17,1
18,9
19,1
20,1
21,5
22,1
23,12
24,5
25,1
26,3
27,10
28,1
29,1
30,14
31,3
32,11
33,16
34,18
35,20
36,22
37,1
38,1
39,25
40,27
41,3
42,3
43,3
44,15
45,29
46,30
47,17
48,32
49,33
50,5
51,5
52,34
53,35
54,19
55,36
56,21
57,38
58,1
60,40
61,23
62,41
63,43
64,44
65,24
66,45
67,26
68,42
69,49
70,50
71,51
72,52
73,53
74,54
75,55
76,56
77,3
78,3
79,3
80,3
82,15
83,28
84,28
85,57
86,58
87,59
88,60
89,61
90,62
91,63
92,64
93,11
94,11
95,31
96,31
97,65
98,66
99,67
100,68
101,69
102,70
103,71
104,72
105,17
106,74
107,75
108,77
109,13
110,13
111,13
112,13
113,78
114,79
115,10
116,10
117,80
118,81
119,82
120,83
121,84
122,85
123,5
124,5
125,5
126,5
127,5
128,86
129,19
130,87
131,88
132,89
133,90
134,91
135,92
136,93
137,131
138,37
139,37
140,95
141,21
142,96
143,97
144,6
145,98
146,99
147,100
148,101
149,102
150,132
151,103
152,104
153,105
154,106
155,107
156,108
157,108
158,1
159,1
160,39
161,109
162,110
163,9
164,111
165,112
166,113
167,23
168,115
169,116
170,117
171,118
172,119
173,120
174,121
175,24
176,122
177,46
178,46
179,123
180,47
181,47
182,48
183,48
184,26
186,124
188,125
189,126
190,127
191,128
192,129
193,130
