id,image
8,https://a5.mzstatic.com/us/r1000/0/Music122/v4/34/fe/a1/34fea184-6d20-3f50-b4ce-5e1501c1c5ab/24UMGIM00198.rgb.jpg
26,https://a5.mzstatic.com/us/r1000/0/Music125/v4/e5/c0/ce/e5c0ce05-4281-dd8e-6a93-86de7cf45621/20UMGIM94964.rgb.jpg
42,https://a5.mzstatic.com/us/r1000/0/Music211/v4/44/ac/49/44ac49c3-fa2f-5241-873e-31fc86ffafda/24UMGIM19152.rgb.jpg
44,https://a5.mzstatic.com/us/r1000/0/Music211/v4/c0/37/49/c0374997-74bd-e21a-8c81-cbbf4a1ea86b/196872148527.jpg
45,https://a5.mzstatic.com/us/r1000/0/Music124/v4/4c/96/38/4c963899-798d-bc31-a1f8-eb5efc6f8d3c/Digital_Cover_BAEKHYUN_Bambi.jpg
57,https://a5.mzstatic.com/us/r1000/0/Music115/v4/5d/4d/f9/5d4df96a-e95e-2fe9-404a-5d570513762d/20UMGIM15390.rgb.jpg
71,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/cd/87/79/cd87795b-3019-90c0-d9f9-08f95c436d95/4511820-94723.jpg/1200x1200bb.jpg
72,https://a5.mzstatic.com/us/r1000/0/Features114/v4/06/c7/7e/06c77ea5-ed00-b82c-688d-bc269d451655/dj.nqsqlrhl.jpg
76,https://a5.mzstatic.com/us/r1000/0/Music124/v4/f7/aa/dc/f7aadc05-fa0d-8ac5-6aaf-22ace4809143/18UMGIM59894.rgb.jpg
77,https://a5.mzstatic.com/us/r1000/0/Music115/v4/a5/39/86/a5398609-ad90-50d3-57ad-0f87a4df5ac4/14UMGIM28138.rgb.jpg
99,https://a5.mzstatic.com/us/r1000/0/Music122/v4/a9/a7/17/a9a717ed-55ba-a870-225f-04e9b70d202c/artwork.jpg
101,https://a5.mzstatic.com/us/r1000/0/Music115/v4/6a/a1/69/6aa169d2-dd20-2d26-1ab2-99017b140475/886448413370.jpg
108,https://a5.mzstatic.com/us/r1000/0/Music126/v4/6b/69/a6/6b69a68e-7b0e-48bb-f466-08e2e0c23b3b/5054197716034.jpg
109,https://a5.mzstatic.com/us/r1000/0/Music128/v4/97/f7/95/97f795bb-178f-53c6-8c4e-f1fa0f559846/EXO_DIGITAL_COVER.jpg
114,https://a5.mzstatic.com/us/r1000/0/Music125/v4/a6/7f/1c/a67f1c2e-6fcb-1bcd-2260-eb7f4b3d75c3/mzm.nopiamsw.jpg
119,https://a5.mzstatic.com/us/r1000/0/Music125/v4/e9/5f/2e/e95f2ef7-0bf6-f6e6-57bf-99168f18f0bf/886446320731.jpg
121,https://a5.mzstatic.com/us/r1000/0/Music6/v4/5a/58/6b/5a586b92-be56-05ff-865e-0b1a5738055e/DonutHole_iTunes_big_ok.jpg
129,https://a5.mzstatic.com/us/r1000/0/Music124/v4/5a/ef/53/5aef5368-d7ae-abb2-8d07-d84127a3a2ec/08UMGIM02044.rgb.jpg
130,https://a5.mzstatic.com/us/r1000/0/Music114/v4/b5/4c/65/b54c65f3-abb8-5d0b-7adc-901035c9fba9/00737463628327.rgb.jpg
134,https://a5.mzstatic.com/us/r1000/0/Music211/v4/42/f0/52/42f05236-5d68-d7d3-b3b2-a82df6ba5ffa/cover.jpg
136,https://a5.mzstatic.com/us/r1000/0/Music115/v4/f9/5f/13/f95f1364-7ae4-b14b-4b5e-93524e8b33a3/859756030652_cover.jpg
143,https://a5.mzstatic.com/us/r1000/0/Music116/v4/8a/e1/e2/8ae1e2cf-5a0d-3bc0-12bd-bd668dde6bfe/859760274721_cover.jpg
149,https://a5.mzstatic.com/us/r1000/0/Music125/v4/4e/8a/da/4e8ada12-5602-fc2c-f75b-167697e140d8/075679921369.jpg
167,https://a5.mzstatic.com/us/r1000/0/Music221/v4/52/a6/db/52a6dbad-8427-9b5c-e90f-34974cc5e3d0/00888735945847_Cover.jpg
169,https://a5.mzstatic.com/us/r1000/0/Music211/v4/f0/69/16/f0691679-835f-8b9b-5baa-292b7e49423f/196922894992_Cover.jpg
174,https://a5.mzstatic.com/us/r1000/0/Music124/v4/23/d3/ec/23d3ec02-6dec-461e-c659-a393f9ddf5f2/859736926555_cover.jpg
178,https://a5.mzstatic.com/us/r1000/0/Music125/v4/10/4e/90/104e9009-70d3-0428-79a8-dfd2036ac81d/730082606929.jpg
179,https://a5.mzstatic.com/us/r1000/0/Music125/v4/04/30/8b/04308bd1-caef-46c4-4097-db491e8e16cd/18UMGIM03858.rgb.jpg
182,https://a5.mzstatic.com/us/r1000/0/Music115/v4/03/76/e6/0376e6f9-f6d8-68f7-ae85-1a4ef17002aa/00602508875229_Cover.jpg
183,https://a5.mzstatic.com/us/r1000/0/Music114/v4/9e/42/da/9e42da6c-dbe6-285b-4e07-5c48fe03ebf3/00602508870248_Cover.jpg
186,https://i.scdn.co/image/ab67616d0000b273f740a587e8f87d8b91615f52
192,https://ia802901.us.archive.org/0/items/mbid-2083bc4a-410e-493d-9ecd-a8ebfdbc63d9/mbid-2083bc4a-410e-493d-9ecd-a8ebfdbc63d9-33260392223.jpg
