id,image
3,https://a5.mzstatic.com/us/r1000/0/Music221/v4/e5/af/75/e5af7528-1b74-2a6d-e831-bce3e79b308f/00888735930041_Cover.jpg
6,https://a5.mzstatic.com/us/r1000/0/Music124/v4/df/3d/bd/df3dbdeb-d69b-04be-7d2d-c059f8b53c5a/AVCK-79465.jpg
7,https://a5.mzstatic.com/us/r1000/0/Music221/v4/f6/15/d0/f615d0ab-e0c4-575d-907e-1cc084642357/24UMGIM61704.rgb.jpg
11,https://a5.mzstatic.com/us/r1000/0/Music124/v4/72/d6/a0/72d6a047-96f9-ab91-1fa9-f288b6261278/NCT_127_Limitless_Digital_Cover_Global.jpg
15,https://a5.mzstatic.com/us/r1000/0/Music116/v4/3b/8d/04/3b8d0418-5f57-0f2f-67b7-622469adeb47/AT2_Album_art_4000_4000_fin..jpg
16,https://a5.mzstatic.com/us/r1000/0/Music125/v4/95/1c/89/951c8962-2d96-d06a-c39d-63a593613c8a/NCT-DIGITAL_COVER.jpg
17,https://a5.mzstatic.com/us/r1000/0/Music211/v4/f1/96/2a/f1962a29-9325-450d-f11a-49014622dcdf/00888735945144_Cover.jpg
20,https://a5.mzstatic.com/us/r1000/0/Music211/v4/cc/0c/b3/cc0cb3a0-e661-7e4d-50e3-60975cc7b3f7/00888735933363_Cover.jpg
22,https://a5.mzstatic.com/us/r1000/0/Music115/v4/f0/33/10/f033106d-6453-96d9-6984-8e3a6dc6c9be/NCT_127_coverart.jpg
25,https://a5.mzstatic.com/us/r1000/0/Music113/v4/40/b4/a5/40b4a506-e3e2-9ce8-1c30-2ec94b0ea73e/NCT_127_Digital_Cover_4000x4000.jpg
28,https://a5.mzstatic.com/us/r1000/0/Music211/v4/42/3e/0d/423e0d37-dabc-f769-af58-5dfb4f4427bc/00888735946264_Cover.jpg
30,https://a5.mzstatic.com/us/r1000/0/Music126/v4/63/e5/e2/63e5e2e4-829b-924d-a1dc-8058a1d69bd4/196922462702_Cover.jpg
38,https://a5.mzstatic.com/us/r1000/0/Music211/v4/24/4f/89/244f89d6-5150-7f4d-597d-7e5b6cee7a0d/00888735934308_Cover.jpg
